date,today_time,today_pages,today_words,total_time,total_pages,total_words,start_work,end_work,work_time
2023-04-02,0,0,0,0,63,4793,9:00,18:00,9
2023-04-03,4,6,93,4,69,4886,14:00,23:00,9
